old_name,new_name
20-grüne-hauptwege-wanderkarte-wfs,20-grune-hauptwege-wanderkarte-wfs-99a22ff0
20-grüne-hauptwege-wanderkarte-wms,20-grune-hauptwege-wanderkarte-wms-1f028343
3d-gebäudemodelle-im-level-detail-1-lod-1-atom,3d-gebaudemodelle-im-level-of-detail-1-lod-1-atom-e2a1e24e
3d-gebäudemodelle-im-level-detail-2-lod-2-atom,3d-gebaudemodelle-im-level-of-detail-2-lod-2-atom-3c7c49af
3d-gebäudemodelle-im-level-detail-2-lod-2-wms,3d-gebaudemodelle-im-level-of-detail-2-lod-2-wms-f2a8a483
3-eur-ticket,3eurticket
abstellflächen-für-mikromobilitätsangebote-wfs,abstellflachen-fur-mikromobilitatsangebote-wfs-6185b5fb
abstellflächen-für-mikromobilitätsangebote-wms,abstellflachen-fur-mikromobilitatsangebote-wms-e45c2176
adressen-berlin-wfs-0,adressen-berlin-wfs-634ab8ba
adressen-berlin-wms,adressen-berlin-wms-130748fb
adressen-im-inspire-datenmodell-atom,adressen-im-inspire-datenmodell-atom-3bd15407
adressen-im-inspire-datenmodell-wms,adressen-im-inspire-datenmodell-wms-ee802686
adressen-regionales-bezugssystem-rbs-wfs,adressen-regionales-bezugssystem-rbs-wfs-c43966c4
adressen-regionales-bezugssystem-rbs-wms,adressen-regionales-bezugssystem-rbs-wms-d1c67d30
afis-berlin-geodätische-grundnetzpunkte-1-genauigkeitsstufe-wfs,afis-berlin-geodatische-grundnetzpunkte-1-genauigkeitsstufe-wfs-274d6976
afis-berlin-geodätische-grundnetzpunkte-2-genauigkeitsstufe-wfs,afis-berlin-geodatische-grundnetzpunkte-2-genauigkeitsstufe-wfs-151cd616
afis-berlin-geodätische-grundnetzpunkte-3-genauigkeitsstufe-wfs,afis-berlin-geodatische-grundnetzpunkte-3-genauigkeitsstufe-wfs-1d64fcf0
afis-berlin-höhenfestpunkte-1-ordnung-wfs,afis-berlin-hohenfestpunkte-1-ordnung-wfs-91d3c198
afis-berlin-höhenfestpunkte-2-ordnung-wfs,afis-berlin-hohenfestpunkte-2-ordnung-wfs-0624def4
afis-berlin-höhenfestpunkte-3-ordnung-wfs,afis-berlin-hohenfestpunkte-3-ordnung-wfs-6ef40a64
afis-berlin-schwerefestpunkte-1-ordnung-wfs,afis-berlin-schwerefestpunkte-1-ordnung-wfs-2baad0b5
afis-berlin-wms,afis-berlin-wms-c4897b9f
airborne-laserscanning-als-primäre-3d-laserscan-daten-atom,airborne-laserscanning-als-primare-3d-laserscan-daten-atom-f4a8997d
airborne-laserscanning-als-primäre-3d-laserscan-daten-wms,airborne-laserscanning-als-primare-3d-laserscan-daten-wms-5d0e441e
alkis-berlin-amtliches-liegenschaftskatasterinformationssystem-wms,alkis-berlin-amtliches-liegenschaftskatasterinformationssystem-wms-78d98821
alkis-berlin-bauwerke-linien-wfs,alkis-berlin-bauwerke-linien-wfs-04e712fc
alkis-berlin-bauwerke-wfs,alkis-berlin-bauwerke-wfs-aac5252c
alkis-berlin-besondere-flurstücksgrenzen-wfs,alkis-berlin-besondere-flurstucksgrenzen-wfs-d7cee9d4
alkis-berlin-bezirke-wfs,alkis-berlin-bezirke-wfs-ced31d7d
alkis-berlin-bezirke-wms,alkis-berlin-bezirke-wms-ecb4fc8b
alkis-berlin-flurstücke-wfs-0,alkis-berlin-flurstucke-wfs-1bc014d7
alkis-berlin-flurstücke-wfs,alkis-berlin-flurstucke-wfs-22e633ff
alkis-berlin-flurstücke-wms,alkis-berlin-flurstucke-wms-ee32991f
alkis-berlin-flur-wfs,alkis-berlin-flur-wfs-6bbf9817
alkis-berlin-gebäude-linien-wfs,alkis-berlin-gebaude-linien-wfs-3d3c53c2
alkis-berlin-gebäude-wfs-0,alkis-berlin-gebaude-wfs-728b368a
alkis-berlin-gebäude-wfs,alkis-berlin-gebaude-wfs-f51f493b
alkis-berlin-gebäude-wms,alkis-berlin-gebaude-wms-986ea575
alkis-berlin-gemarkung-wfs,alkis-berlin-gemarkung-wfs-888521ec
alkis-berlin-gemeinde-wfs,alkis-berlin-gemeinde-wfs-3fbfcbce
alkis-berlin-gewässer-und-vegetationsflächen-wfs,alkis-berlin-gewasser-und-vegetationsflachen-wfs-20322e6b
alkis-berlin-landesgrenze-wfs,alkis-berlin-landesgrenze-wfs-07b1347b
alkis-berlin-landesgrenze-wms,alkis-berlin-landesgrenze-wms-2595e865
alkis-berlin-land-wfs,alkis-berlin-land-wfs-2f1bf1a6
alkis-berlin-ortsteile-wfs,alkis-berlin-ortsteile-wfs-61bd3084
alkis-berlin-ortsteile-wms,alkis-berlin-ortsteile-wms-a9a5c3b1
alkis-berlin-ortsteil-wfs,alkis-berlin-ortsteil-wfs-531fb385
